inquiry,discipline,traditional,progressive,readingscore,mathscore,pocschool,pocsd,povertyschool,povertysd,students,age,expulsions,titlei,ethnicisolated,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity
0.0,0.0,0.0,0.0,80,79,0.9776785714285714,-93.34,0.6443452380952381,32.13,1344.0,4.0,0.0,1.0,0,17.03,1992.37,10.56,29.81,0.0,4,0.0
0.005431502715751361,0.0,0.0,0.0,LT50,LT50,0.5076923076923077,-59.41,0.6615384615384615,20.38,65.0,11.0,0.0,1.0,0,19.04,3464.478,11.5,5.6,0.0,7,0.0
0.0052726468687281005,0.004455630760858472,0.0004081355009863276,0.00023811143615211914,75,77,0.9646697388632872,-23.35,0.7342549923195084,25.65,651.0,16.0,,1.0,0,13.66,11582.25,17.17,28.3,0.0,184,44.0
0.0027986706314500603,0.002798997026065659,0.0007579732960177249,5.830563815520964e-05,50,30,0.8554216867469879,-54.44,0.6807228915662651,12.25,332.0,15.0,0.0,0.0,0,21.52,568.0406,10.93,22.86,0.0,15,5.0
0.0069124423963133645,0.0,0.0,0.0,49,63,0.9950331125827816,-32.0,0.8228476821192053,14.25,604.0,4.0,,1.0,1,21.040000000000006,8654.639000000001,8.98,48.07,0.0,10,2.0
0.003569340595095235,0.0007997539218701937,0.0001537799101925324,0.00021532498692669732,50-54,45-49,0.36666666666666653,-83.33,0.3380952380952381,7.49,420.0,11.0,0.0,1.0,0,26.99000000000001,1626.8570000000002,6.59,8.96,0.0,1048,307.0
0.013181160585114931,0.00032080414906699464,0.00042773886542265936,0.0002674082789603167,,,0.5454545454545454,-78.16,0.5909090909090909,8.49,110.0,14.0,0.0,1.0,0,35.85,1432.3239999999994,8.0,12.35,0.0,27,9.0
0.009253836242239664,0.00011675423234092229,0.00023356300362022646,0.00011675423234092229,40-44,35-39,0.3825757575757576,-74.31,0.5189393939393939,17.76,264.0,0.0,0.0,,0,13.230000000000002,206.4979,16.15,14.01,0.0,6,4.0
0.00612532075159341,8.274720728175418e-05,0.00033101621979476984,0.00016552180749813793,GE95,GE95,0.9916897506925209,-42.07,0.0,17.0,722.0,9.0,0.0,1.0,1,36.22000000000001,27960.18,8.6,37.18,0.0,25,1.0
0.0027747414445472114,0.000504244054122195,0.00016808135137406495,0.00025218560860793546,54,50,0.6701323251417769,-74.26,0.6323251417769377,16.28,1058.0,15.0,0.0,1.0,0,18.68,235.00799999999998,8.32,19.17,0.013333333333333334,117,12.0
0.017543859649122806,0.0,0.0,0.0,10-14,LE5,0.917933130699088,-52.53,0.9908814589665652,30.43,329.0,14.0,,1.0,0,16.37,5106.156,13.61,20.93,0.009259259259259259,8,2.0
0.0,0.0,0.0,0.0,36,20,0.5711462450592886,-79.44,0.6205533596837944,7.96,506.0,15.0,2.0,1.0,0,21.26,1514.3210000000001,7.22,7.61,0.0,18,3.0
0.007906146391226727,0.0,0.0,0.0,60-64,70-74,0.4247787610619469,-77.8,0.5442477876106194,20.04,226.0,12.0,0.0,1.0,0,12.68,99.37026,11.43,4.22,0.0,4,1.0
0.006423845313804844,0.0,0.00012841091492776888,0.00012841916013869273,77,73,0.5108108108108108,-79.33,0.040540540540540536,6.45,370.0,14.0,,,0,40.86000000000001,3200.468,6.78,10.94,0.0,136,45.0
0.0012004156663202776,0.002060267297287614,0.0005733123118818979,8.957844384327355e-05,22,12,0.9288389513108616,-62.87,0.9887640449438202,20.44,267.0,16.0,-54.0,1.0,0,27.99,2901.4509999999996,6.86,24.18,0.0,11,0.0
0.008707360861759423,0.0006730682939962312,0.0009426339886883922,0.00035905031192495865,63,57,0.3333333333333333,-74.4,0.04106280193236715,4.43,414.0,16.0,0.0,0.0,0,48.26,1729.685,5.27,18.97,0.0,196,27.0
0.006676537892044689,0.000242221982990634,0.00048445700444085587,0.0003230408915928608,24,19,0.9621608757734412,-47.68,0.866254164683484,17.63,8404.0,16.0,25.0,1.0,0,36.55,11938.74,10.94,20.86,0.00847457627118644,15,2.0
0.010309278350515464,0.0,0.0,0.0,30-39,6-9,0.9958847736625516,-74.34,0.8436213991769548,7.59,243.0,1.0,0.0,1.0,1,37.67,3655.127,4.44,11.42,0.0,112,9.0
0.001577287066246056,0.0,0.0007886435331230287,0.0007892659826361483,,,0.8888888888888888,-53.89,0.8222222222222222,23.54,45.0,2.0,0.0,1.0,0,16.250000000000004,3450.564000000001,9.62,23.5,0.0,13,2.0
0.0019977168949771675,0.008561643835616434,0.001712328767123287,0.0002854695974878674,44,16,0.6767100977198697,-79.12,0.488599348534202,17.71,1228.0,7.0,0.0,1.0,0,10.78,752.5433,12.81,16.7,0.0,136,45.0
0.0,0.0,0.0,0.0,42,42,0.6459143968871596,-60.89,0.7412451361867705,11.14,514.0,5.0,0.0,1.0,0,31.020000000000003,1540.588,8.71,32.72,0.024930747922437674,7,2.0
0.0,0.0,0.0,0.0,40-44,20-24,0.9415204678362572,-46.01,0.9824561403508772,21.91,171.0,4.0,,1.0,0,33.85,2910.046,7.96,8.97,0.0,37,1.0
0.0047062743383103215,0.0007703358247798299,0.00022901399067288487,0.00043733599900037495,88,80,0.4300791556728232,-84.4,-0.0013192612137203164,8.27,758.0,3.0,0.0,0.0,0,41.39,2670.9179999999997,6.09,14.27,0.0,1048,307.0
0.008255406195207482,7.30246823426318e-05,0.0002921200613452129,0.00014604936468526366,PS,PS,0.16666666666666666,-75.28,0.8333333333333334,5.56,6.0,0.0,0.0,,0,30.61,2249.905,6.06,9.42,0.0,26,1.0
0.004988929061913171,0.0002517482517482517,0.00025175529385437366,2.7972810428263753e-05,46,22,0.3967517401392112,-91.74,0.09048723897911833,10.22,431.0,4.0,0.0,0.0,0,20.47,141.4304,6.89,1.65,0.0,106,19.0
0.0,0.0,0.0,0.0,25,9,0.9986072423398328,-12.65,0.913649025069638,34.68,718.0,17.0,0.0,1.0,1,13.820000000000002,4923.774,22.14,5.49,0.0,306,65.0
0.0041685614673336365,0.0009282236829642539,0.0003978629078094805,0.00017050621400424367,60,57,0.21551724137931036,-82.67,-0.0017241379310344827,10.09,580.0,7.0,,1.0,0,27.860000000000007,1890.805,7.54,8.56,0.0,310,92.0
